published_at,title,description,source,url,ticker,date,market_date
2026-04-17 07:37:16+00:00,"India smartphone shipments fall to 6-year low in Q1 amid price hikes, Counterpoint Research says","April 17 : India's smartphone shipments fell 3 per cent year-on-year in the first quarter of 2026, marking their weakest quarterly performance in six years as cost pressures, price hikes and soft demand weighed on sales, Counterpoint Research said on Friday.•…",CNA,https://www.channelnewsasia.com/business/india-smartphone-shipments-fall-6-year-low-in-q1-amid-price-hikes-counterpoint-research-says-6063236,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:32:27+00:00,google-automation-mcp 0.7.0,"Headless Google Workspace automation for AI - Apps Script, Gmail, Drive, Sheets, Calendar, Docs, Tasks, Forms",Pypi.org,https://pypi.org/project/google-automation-mcp/0.7.0/,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:32:08+00:00,Google's AI Mode Update Tries to Kill Tab Hopping in Chrome - WIRED,"Google's AI Mode Update Tries to Kill Tab Hopping in ChromeWIRED Turn your best AI prompts into one-click tools in Chromeblog.google Google now lets you explore the web side-by-side with AI ModeTechCrunch Google introduces ""Skills"" in Chrome to make Gemini pr…",Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=181736510,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:20:00+00:00,Not Anderson or Baleba: Journo discloses Jan talks between Man Utd and player who ‘dreams’ of playing at Old Trafford,"Manchester United reportedly held initial talks with transfer target Tyler Adams back in the January window, according to Ben Jacobs.However, they did so with the intention of adding him to the ranks ...",Strettynews.com,https://strettynews.com/2026/04/17/manchester-united-alex-scott-bournemouth-transfer-talks-january/,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:15:00+00:00,Behdad Eghbali speaks publicly on Enzo Maresca’s departure for the first time,"The departure of Enzo Maresca has had a negative impact on the season, and wasn’t a change Chelsea wanted to make according to co-owner Behdad Eghbali.DOWNLOAD THE OFFICIAL CHELSEA NEWS APP FOR ALL ...",Chelsea.news,https://chelsea.news/2026/04/behdad-eghbali-enzo-maresca-departure/,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:12:08+00:00,The Osmo Pocket 4 Is the First True Victim of the US Government's DJI Ban - PCMag UK,The Osmo Pocket 4 Is the First True Victim of the US Government's DJI BanPCMag UK View Full Coverage on Google News ...,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=181736396,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:05:00+00:00,‘Excellent servant’ – Liverpool stalwart tipped for summer exit,"A season that promised so much has drifted into uncertainty, and now our longest-serving player, Joe Gomez, is being linked with a potential exit as Liverpool prepare for a pivotal summer.DOWNLOAD THE...",Empire of The Kop,https://www.empireofthekop.com/2026/04/17/excellent-servant-liverpool-stalwart-tipped-for-summer-exit/,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:04:45+00:00,Google reportedly in talks with Pentagon over classified use of Gemini AI models,"Google is in talks with the US Department of Defense that would allow the Pentagon to use the company's Gemini AI models for classified purposes, according to The Information. If the deal comes to fruition, it could represent a deepening of ties between Googl…",Digitimes,https://www.digitimes.com/news/a20260417VL218/google-gemini-anthropic-military-government.html,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:03:11+00:00,AXT Inc Stock Soars 30% to $81.78 on AI Hype but Faces Analyst Warnings to Sell in 2026,"NEW YORK — AXT Inc. shares exploded higher Thursday, surging nearly 30% to close at $81.78 after a volatile session that saw the stock swing from $59.30 to an intraday high of $82.19, as momentum traders piled into the compound semiconductor maker amid broade…",Ibtimes.com.au,https://www.ibtimes.com.au/axt-inc-stock-soars-30-8178-ai-hype-faces-analyst-warnings-sell-2026-1866803,GOOGL,2026-04-17,2026-04-17
2026-04-17 07:02:09+00:00,"Claude Opus wrote a Chrome exploit for $2,283","Pause your Mythos panic because mainstream models anyone can use already pick holes in popular software
Anthropic withheld its Mythos bug-finding model from public release due to concerns that it would enable attackers to find and exploit vulnerabilities befo…",Theregister.com,https://www.theregister.com/2026/04/17/claude_opus_wrote_chrome_exploit/,GOOGL,2026-04-17,2026-04-17
